# time  created  delivered  delivered/created
87.0000 1 0 0.0000
98.0000 2 0 0.0000
109.0000 3 0 0.0000
112.0000 4 0 0.0000
209.0000 5 0 0.0000
210.0000 6 0 0.0000
258.0000 7 0 0.0000
373.0000 8 0 0.0000
440.0000 9 0 0.0000
511.0000 10 0 0.0000
525.0000 11 0 0.0000
605.0000 12 0 0.0000
684.0000 13 0 0.0000
755.0000 14 0 0.0000
866.0000 15 0 0.0000
911.5000 15 1 0.0667
974.0000 16 1 0.0625
1023.0000 17 1 0.0588
1058.7000 17 2 0.1176
1123.0000 18 2 0.1111
1162.0000 19 2 0.1053
1252.0000 20 2 0.1000
1254.0000 21 2 0.0952
1350.0000 22 2 0.0909
1350.9000 22 3 0.1364
1454.0000 23 3 0.1304
1498.0000 24 3 0.1250
1528.2000 24 4 0.1667
1570.0000 24 5 0.2083
1575.0000 25 5 0.2000
1589.2000 25 6 0.2400
1600.0000 25 7 0.2800
1637.0000 26 7 0.2692
1639.3000 26 8 0.3077
1690.0000 27 8 0.2963
1712.2000 27 9 0.3333
1714.5000 27 10 0.3704
1768.0000 28 10 0.3571
1837.0000 29 10 0.3448
1885.4000 29 11 0.3793
1941.0000 30 11 0.3667
1948.0000 31 11 0.3548
1962.7000 31 12 0.3871
1965.0000 32 12 0.3750
1976.3000 32 13 0.4063
2081.0000 33 13 0.3939
2177.0000 34 13 0.3824
2250.0000 35 13 0.3714
2250.0000 36 13 0.3611
2287.0000 37 13 0.3514
2401.0000 38 13 0.3421
2519.0000 39 13 0.3333
2564.0000 40 13 0.3250
2565.1000 40 14 0.3500
2581.0000 41 14 0.3415
2624.9000 41 15 0.3659
2629.0000 42 15 0.3571
2726.0000 43 15 0.3488
2806.7000 43 16 0.3721
2833.0000 44 16 0.3636
2910.0000 45 16 0.3556
2938.0000 46 16 0.3478
3046.0000 47 16 0.3404
3147.0000 48 16 0.3333
3260.0000 49 16 0.3265
3348.0000 50 16 0.3200
3413.0000 51 16 0.3137
3450.0000 52 16 0.3077
3451.0000 53 16 0.3019
3456.3000 53 17 0.3208
3488.8000 53 18 0.3396
3528.2000 53 19 0.3585
3547.0000 54 19 0.3519
3552.5000 54 20 0.3704
3661.0000 55 20 0.3636
3667.0000 56 20 0.3571
3688.8000 56 21 0.3750
3762.0000 57 21 0.3684
3799.0000 58 21 0.3621
3819.7000 58 22 0.3793
3834.0000 59 22 0.3729
3851.0000 60 22 0.3667
3851.0000 61 22 0.3607
3884.5000 61 23 0.3770
3899.0000 62 23 0.3710
3909.0000 63 23 0.3651
3931.0000 64 23 0.3594
3973.0000 65 23 0.3538
4001.8000 65 24 0.3692
4022.1000 65 25 0.3846
4048.3000 65 26 0.4000
4050.0000 66 26 0.3939
4065.0000 66 27 0.4091
4079.0000 67 27 0.4030
4101.0000 68 27 0.3971
4137.9000 68 28 0.4118
4138.1000 68 29 0.4265
4144.0000 69 29 0.4203
4152.2000 69 30 0.4348
4188.0000 70 30 0.4286
4232.0000 71 30 0.4225
4245.0000 72 30 0.4167
4247.2000 72 31 0.4306
4281.8000 72 32 0.4444
4335.0000 73 32 0.4384
4376.0000 74 32 0.4324
4392.9000 74 33 0.4459
4436.0000 75 33 0.4400
4491.6000 75 34 0.4533
4503.0000 76 34 0.4474
4560.9000 76 35 0.4605
4614.0000 77 35 0.4545
4659.0000 78 35 0.4487
4696.0000 79 35 0.4430
4775.6000 79 36 0.4557
4794.3000 79 37 0.4684
4798.0000 80 37 0.4625
4853.8000 80 38 0.4750
4861.0000 81 38 0.4691
4906.0000 82 38 0.4634
4942.0000 83 38 0.4578
4946.0000 84 38 0.4524
4982.3000 84 39 0.4643
5052.0000 85 39 0.4588
5078.8000 85 40 0.4706
5163.0000 86 40 0.4651
5212.0000 87 40 0.4598
5242.6000 87 41 0.4713
5267.2000 87 42 0.4828
5312.0000 88 42 0.4773
5421.0000 89 42 0.4719
5476.7000 89 43 0.4831
5524.3000 89 44 0.4944
5528.0000 90 44 0.4889
5628.1000 90 45 0.5000
5634.0000 91 45 0.4945
5663.0000 92 45 0.4891
5686.0000 93 45 0.4839
5688.9000 93 46 0.4946
5773.0000 94 46 0.4894
5774.4000 94 47 0.5000
5795.0000 95 47 0.4947
5800.0000 96 47 0.4896
5800.0000 97 47 0.4845
5881.0000 98 47 0.4796
5918.5000 98 48 0.4898
5979.0000 99 48 0.4848
6006.0000 100 48 0.4800
6018.0000 101 48 0.4752
6061.8000 101 49 0.4851
6121.0000 102 49 0.4804
6127.0000 103 49 0.4757
6243.0000 104 49 0.4712
6278.0000 105 49 0.4667
6359.0000 106 49 0.4623
6390.2000 106 50 0.4717
6414.0000 107 50 0.4673
6439.0000 108 50 0.4630
6498.0000 109 50 0.4587
6575.0000 110 50 0.4545
6585.2000 110 51 0.4636
6624.7000 110 52 0.4727
6660.0000 111 52 0.4685
6682.0000 112 52 0.4643
6684.0000 113 52 0.4602
6741.0000 114 52 0.4561
6743.6000 114 53 0.4649
6779.0000 115 53 0.4609
6781.0000 116 53 0.4569
6797.0000 117 53 0.4530
6817.0000 118 53 0.4492
6855.4000 118 54 0.4576
6874.0000 119 54 0.4538
6887.6000 119 55 0.4622
6911.0000 120 55 0.4583
6919.9000 120 56 0.4667
6924.7000 120 57 0.4750
6954.8000 120 58 0.4833
7004.2000 120 59 0.4917
7017.0000 121 59 0.4876
7044.0000 122 59 0.4836
7093.0000 123 59 0.4797
7132.0000 124 59 0.4758
7183.0000 125 59 0.4720
7226.0000 126 59 0.4683
7252.8000 126 60 0.4762
7268.0000 127 60 0.4724
7323.0000 128 60 0.4688
7390.6000 128 61 0.4766
7441.0000 129 61 0.4729
7465.0000 130 61 0.4692
7471.0000 131 61 0.4656
7498.0000 131 62 0.4733
7506.0000 132 62 0.4697
7603.9000 132 63 0.4773
7625.0000 133 63 0.4737
7665.3000 133 64 0.4812
7688.3000 133 65 0.4887
7704.0000 134 65 0.4851
7722.0000 134 66 0.4925
7731.4000 134 67 0.5000
7786.0000 135 67 0.4963
7791.4000 135 68 0.5037
7841.0000 136 68 0.5000
7847.4000 136 69 0.5074
7899.0000 137 69 0.5036
7929.5000 137 70 0.5109
8000.0000 138 70 0.5072
8001.6000 138 71 0.5145
8003.8000 138 72 0.5217
8086.9000 138 73 0.5290
8091.0000 139 73 0.5252
8091.0000 140 73 0.5214
8119.0000 141 73 0.5177
8154.5000 141 74 0.5248
8205.0000 142 74 0.5211
8225.8000 142 75 0.5282
8298.0000 143 75 0.5245
8348.0000 144 75 0.5208
8453.0000 145 75 0.5172
8500.0000 146 75 0.5137
8507.1000 146 76 0.5205
8593.4000 146 77 0.5274
8609.0000 147 77 0.5238
8652.2000 147 78 0.5306
8659.0000 148 78 0.5270
8707.1000 148 79 0.5338
8713.3000 148 80 0.5405
8720.8000 148 81 0.5473
8739.4000 148 82 0.5541
8746.0000 149 82 0.5503
8845.0000 150 82 0.5467
8930.4000 150 83 0.5533
8964.0000 151 83 0.5497
9032.0000 152 83 0.5461
9112.0000 153 83 0.5425
9134.8000 153 84 0.5490
9176.0000 154 84 0.5455
9191.8000 154 85 0.5519
9197.3000 154 86 0.5584
9261.4000 154 87 0.5649
9263.0000 155 87 0.5613
9332.0000 156 87 0.5577
9333.9000 156 88 0.5641
9447.0000 157 88 0.5605
9493.9000 157 89 0.5669
9537.0000 158 89 0.5633
9596.0000 159 89 0.5597
9658.7000 159 90 0.5660
9693.0000 160 90 0.5625
9752.7000 160 91 0.5688
9767.0000 161 91 0.5652
9812.0000 162 91 0.5617
9826.0000 163 91 0.5583
9850.9000 163 92 0.5644
9869.9000 163 93 0.5706
9890.9000 163 94 0.5767
9911.0000 164 94 0.5732
9923.0000 165 94 0.5697
9970.0000 166 94 0.5663
9974.4000 166 95 0.5723
10007.3000 166 96 0.5783
10028.1000 166 97 0.5843
10030.0000 166 98 0.5904
10035.5000 166 99 0.5964
10047.0000 167 99 0.5928
10049.4000 167 100 0.5988
10124.0000 168 100 0.5952
10145.4000 168 101 0.6012
10200.0000 169 101 0.5976
10307.0000 170 101 0.5941
10321.7000 170 102 0.6000
10328.0000 171 102 0.5965
10386.1000 171 103 0.6023
10406.0000 172 103 0.5988
10451.5000 172 104 0.6047
10469.0000 173 104 0.6012
10510.3000 173 105 0.6069
10547.3000 173 106 0.6127
10562.0000 174 106 0.6092
10581.0000 175 106 0.6057
10581.9000 175 107 0.6114
10585.0000 176 107 0.6080
10699.0000 177 107 0.6045
10799.0000 178 107 0.6011
10857.8000 178 108 0.6067
10864.0000 179 108 0.6034
10932.1000 179 109 0.6089
10935.9000 179 110 0.6145
10963.9000 179 111 0.6201
10980.0000 180 111 0.6167
11036.0000 181 111 0.6133
11054.7000 181 112 0.6188
11063.7000 181 113 0.6243
11067.4000 181 114 0.6298
11078.0000 182 114 0.6264
11095.6000 182 115 0.6319
11108.0000 183 115 0.6284
11126.0000 184 115 0.6250
11141.0000 185 115 0.6216
11178.0000 186 115 0.6183
11232.0000 187 115 0.6150
11299.0000 188 115 0.6117
11365.0000 189 115 0.6085
11430.0000 190 115 0.6053
11517.9000 190 116 0.6105
11530.0000 191 116 0.6073
11535.2000 191 117 0.6126
11604.6000 191 118 0.6178
11613.0000 192 118 0.6146
11615.7000 192 119 0.6198
11652.0000 193 119 0.6166
11675.8000 193 120 0.6218
11695.0000 194 120 0.6186
11716.3000 194 121 0.6237
11726.3000 194 122 0.6289
11729.1000 194 123 0.6340
11814.0000 195 123 0.6308
11852.8000 195 124 0.6359
11888.3000 195 125 0.6410
11933.0000 196 125 0.6378
11943.3000 196 126 0.6429
11975.0000 197 126 0.6396
11989.0000 198 126 0.6364
11999.7000 198 127 0.6414
12002.8000 198 128 0.6465
12046.0000 199 128 0.6432
12105.0000 200 128 0.6400
12129.5000 200 129 0.6450
12146.9000 200 130 0.6500
12189.0000 201 130 0.6468
12202.0000 202 130 0.6436
12275.0000 203 130 0.6404
12277.0000 204 130 0.6373
12296.0000 205 130 0.6341
12320.8000 205 131 0.6390
12323.0000 206 131 0.6359
12399.6000 206 132 0.6408
12435.0000 207 132 0.6377
12449.8000 207 133 0.6425
12509.5000 207 134 0.6473
12535.0000 208 134 0.6442
12573.0000 209 134 0.6411
12629.0000 210 134 0.6381
12629.0000 211 134 0.6351
12675.0000 212 134 0.6321
12676.0000 213 134 0.6291
12701.0000 213 135 0.6338
12722.0000 214 135 0.6308
12760.0000 215 135 0.6279
12827.3000 215 136 0.6326
12858.0000 216 136 0.6296
12920.0000 217 136 0.6267
12991.0000 218 136 0.6239
13005.8000 218 137 0.6284
13020.0000 218 138 0.6330
13033.0000 219 138 0.6301
13041.3000 219 139 0.6347
13068.0000 220 139 0.6318
13077.0000 220 140 0.6364
13131.0000 221 140 0.6335
13185.0000 222 140 0.6306
13297.0000 223 140 0.6278
13396.0000 224 140 0.6250
13414.9000 224 141 0.6295
13426.0000 225 141 0.6267
13431.0000 226 141 0.6239
13449.0000 227 141 0.6211
13491.1000 227 142 0.6256
13498.3000 227 143 0.6300
13509.0000 228 143 0.6272
13531.2000 228 144 0.6316
13588.0000 229 144 0.6288
13676.0000 230 144 0.6261
13698.3000 230 145 0.6304
13774.0000 231 145 0.6277
13784.0000 232 145 0.6250
13809.6000 232 146 0.6293
13867.0000 233 146 0.6266
13874.4000 233 147 0.6309
13875.2000 233 148 0.6352
13895.4000 233 149 0.6395
13962.0000 234 149 0.6368
13990.0000 235 149 0.6340
14075.4000 235 150 0.6383
14092.0000 236 150 0.6356
14138.0000 237 150 0.6329
14233.0000 238 150 0.6303
14233.0000 239 150 0.6276
14260.0000 239 151 0.6318
14276.8000 239 152 0.6360
14300.0000 240 152 0.6333
14300.6000 240 153 0.6375
14366.0000 241 153 0.6349
14366.6000 241 154 0.6390
14390.0000 242 154 0.6364
14432.0000 242 155 0.6405
14457.0000 243 155 0.6379
14461.5000 243 156 0.6420
14465.1000 243 157 0.6461
14469.0000 244 157 0.6434
14477.2000 244 158 0.6475
14528.0000 245 158 0.6449
14549.1000 245 159 0.6490
14567.1000 245 160 0.6531
14572.0000 246 160 0.6504
14572.0000 246 161 0.6545
14606.0000 247 161 0.6518
14647.4000 247 162 0.6559
14651.6000 247 163 0.6599
14704.0000 248 163 0.6573
14718.4000 248 164 0.6613
14739.0000 249 164 0.6586
14778.8000 249 165 0.6627
14825.0000 250 165 0.6600
14829.9000 250 166 0.6640
14907.0000 251 166 0.6614
14943.0000 252 166 0.6587
14953.7000 252 167 0.6627
14977.5000 252 168 0.6667
15042.1000 252 169 0.6706
15051.0000 252 170 0.6746
15055.0000 253 170 0.6719
15123.0000 254 170 0.6693
15160.6000 254 171 0.6732
15208.0000 255 171 0.6706
15209.7000 255 172 0.6745
15210.7000 255 173 0.6784
15248.6000 255 174 0.6824
15265.0000 256 174 0.6797
15265.0000 257 174 0.6770
15268.5000 257 175 0.6809
15320.0000 258 175 0.6783
15320.6000 258 176 0.6822
15405.0000 258 177 0.6860
15426.0000 259 177 0.6834
15465.6000 259 178 0.6873
15480.0000 260 178 0.6846
15576.0000 261 178 0.6820
15613.0000 262 178 0.6794
15630.9000 262 179 0.6832
15660.0000 263 179 0.6806
15661.0000 264 179 0.6780
15680.0000 264 180 0.6818
15717.0000 265 180 0.6792
15806.4000 265 181 0.6830
15819.0000 266 181 0.6805
15894.0000 267 181 0.6779
15936.0000 268 181 0.6754
15989.0000 269 181 0.6729
15995.0000 270 181 0.6704
16003.8000 270 182 0.6741
16039.0000 271 182 0.6716
16072.7000 271 183 0.6753
16133.0000 272 183 0.6728
16160.7000 272 184 0.6765
16177.7000 272 185 0.6801
16178.7000 272 186 0.6838
16204.0000 273 186 0.6813
16236.7000 273 187 0.6850
16254.1000 273 188 0.6886
16254.3000 273 189 0.6923
16274.0000 274 189 0.6898
16293.4000 274 190 0.6934
16354.0000 275 190 0.6909
16454.0000 276 190 0.6884
16505.0000 277 190 0.6859
16529.7000 277 191 0.6895
16532.0000 278 191 0.6871
16642.0000 279 191 0.6846
16693.0000 280 191 0.6821
16718.8000 280 192 0.6857
16722.6000 280 193 0.6893
16766.0000 281 193 0.6868
16769.0000 282 193 0.6844
16800.1000 282 194 0.6879
16814.0000 283 194 0.6855
16875.8000 283 195 0.6890
16912.0000 284 195 0.6866
16935.0000 285 195 0.6842
16958.0000 286 195 0.6818
17065.0000 287 195 0.6794
17070.0000 288 195 0.6771
17105.8000 288 196 0.6806
17133.7000 288 197 0.6840
17184.0000 289 197 0.6817
17219.6000 289 198 0.6851
17252.0000 289 199 0.6886
17259.0000 290 199 0.6862
17345.0000 291 199 0.6838
17375.0000 292 199 0.6815
17410.1000 292 200 0.6849
17434.0000 293 200 0.6826
17448.1000 293 201 0.6860
17480.0000 294 201 0.6837
17503.8000 294 202 0.6871
17522.3000 294 203 0.6905
17577.4000 294 204 0.6939
17582.0000 295 204 0.6915
17600.3000 295 205 0.6949
17606.0000 296 205 0.6926
17629.0000 297 205 0.6902
17669.0000 298 205 0.6879
17703.1000 298 206 0.6913
17718.2000 298 207 0.6946
17762.9000 298 208 0.6980
17773.0000 299 208 0.6957
17814.5000 299 209 0.6990
17829.8000 299 210 0.7023
17849.0000 300 210 0.7000
17862.0000 301 210 0.6977
17908.0000 302 210 0.6954
17987.8000 302 211 0.6987
17991.0000 303 211 0.6964
18031.0000 304 211 0.6941
18123.5000 304 212 0.6974
18136.4000 304 213 0.7007
18138.0000 305 213 0.6984
18238.7000 305 214 0.7016
